Product_url,Product_name,Brand,Sale_price,MRP,Discount_percentage,Memory,No_of_ratings,No_of_reviews,Star_rating,Description
https://www.flipkart.com/apple-watch-series7-gps-41mm-starlight-aluminium-case-sport-band/p/itma270deea221b2?pid=SMWG7BG2F4ZM5Z2X&lid=LSTSMWG7BG2F4ZM5Z2XXDEZTW&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_1&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWG7BG2F4ZM5Z2X.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch Series7 (GPS, 41mm) - Starlight Aluminium Case with Starlight Sport Band",APPLE,"41,900","41,900",0,32 ,"2,472",145,4.6,"The largest, most advanced Always-on Retina display yet makes everything you do with your Apple Watch Series 7 bigger and better. Series 7 is the most durable Apple Watch ever built, with an even more crack-resistant front crystal. Advanced features let you measure your blood oxygen level, take an ECG anytime, and access mindfulness and sleep tracking apps. You can also track dozens of workouts, including new tai chi and pilates."
https://www.flipkart.com/apple-watch-series-8-gps-cellular/p/itmdbcaa52bf36f2?pid=SMWGHWZ2J828SYYC&lid=LSTSMWGHWZ2J828SYYCCHWTAT&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_2&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWGHWZ2J828SYYC.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,APPLE Watch Series 8 GPS + Cellular,APPLE,"58,900","58,900",0,32 ,72,3,4.5,No description available
https://www.flipkart.com/apple-watch-se-gps-cellular-44mm-space-grey-aluminium-case-midnight-sport-band/p/itmcacfa110e2533?pid=SMWG6VNRH5XAEY6X&lid=LSTSMWG6VNRH5XAEY6XC1FYMH&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_3&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWG6VNRH5XAEY6X.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch SE (GPS+Cellular, 44mm) Space Grey Aluminium Case with Midnight Sport Band",APPLE,"36,900","36,900",0,32 ,"3,277",245,4.6,"With powerful features to help keep you connected, active, healthy and safe, Apple Watch SE is a lot of watch. For a lot less than you expected."
https://www.flipkart.com/apple-watch-series-8-gps/p/itm1f82f7287abda?pid=SMWGHWZ2PKVFG23W&lid=LSTSMWGHWZ2PKVFG23WHHRKCL&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_4&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWGHWZ2PKVFG23W.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,APPLE Watch Series 8 GPS,APPLE,"48,900","48,900",0,32 ,63,5,4.3,No description available
https://www.flipkart.com/apple-watch-series7-gps-41mm-blue-aluminium-case-abyss-sport-band/p/itm64481c362c0f9?pid=SMWG7BG2GP4SFEKM&lid=LSTSMWG7BG2GP4SFEKMWIT3J9&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_5&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWG7BG2GP4SFEKM.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch Series7 (GPS, 41mm) - Blue Aluminium Case with Abyss Blue Sport Band",APPLE,"41,900","41,900",0,32 ,"2,472",145,4.6,"The largest, most advanced Always-on Retina display yet makes everything you do with your Apple Watch Series 7 bigger and better. Series 7 is the most durable Apple Watch ever built, with an even more crack-resistant front crystal. Advanced features let you measure your blood oxygen level, take an ECG anytime, and access mindfulness and sleep tracking apps. You can also track dozens of workouts, including new tai chi and pilates."
https://www.flipkart.com/apple-watch-series7-gps-41mm-midnight-aluminium-case-sport-band/p/itmddf2ea0166c61?pid=SMWG7BG24KFJNK8J&lid=LSTSMWG7BG24KFJNK8JOPNBOX&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_6&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWG7BG24KFJNK8J.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch Series7 (GPS, 41mm) - Midnight Aluminium Case with Midnight Sport Band",APPLE,"41,900","41,900",0,32 ,"2,472",145,4.6,"The largest, most advanced Always-on Retina display yet makes everything you do with your Apple Watch Series 7 bigger and better. Series 7 is the most durable Apple Watch ever built, with an even more crack-resistant front crystal. Advanced features let you measure your blood oxygen level, take an ECG anytime, and access mindfulness and sleep tracking apps. You can also track dozens of workouts, including new tai chi and pilates."
https://www.flipkart.com/apple-watch-se-gps-44mm-space-grey-aluminium-case-midnight-sport-band/p/itm4eeab23daf062?pid=SMWG6VNRZPZQCZWH&lid=LSTSMWG6VNRZPZQCZWHURTHBX&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_7&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWG6VNRZPZQCZWH.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch SE (GPS, 44mm) - Space Grey Aluminium Case with Midnight Sport Band",APPLE,"32,900","32,900",0,32 ,"4,656",324,4.6,"With powerful features to help keep you connected, active, healthy and safe, Apple Watch SE is a lot of watch. For a lot less than you expected."
https://www.flipkart.com/apple-watch-series7-gps-45mm-blue-aluminium-case-abyss-sport-band/p/itm45493627e3334?pid=SMWG7BG2WUMCK8T3&lid=LSTSMWG7BG2WUMCK8T3CJXPGM&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_8&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWG7BG2WUMCK8T3.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch Series7 (GPS, 45mm) - Blue Aluminium Case with Abyss Blue Sport Band",APPLE,"44,496","44,900",0,32 ,"2,472",145,4.6,"The largest, most advanced Always-on Retina display yet makes everything you do with your Apple Watch Series 7 bigger and better. Series 7 is the most durable Apple Watch ever built, with an even more crack-resistant front crystal. Advanced features let you measure your blood oxygen level, take an ECG anytime, and access mindfulness and sleep tracking apps. You can also track dozens of workouts, including new tai chi and pilates."
https://www.flipkart.com/apple-watch-series7-gps-45mm-starlight-aluminium-case-sport-band/p/itm36c57e810bb4c?pid=SMWG7BG2PYPJ4MWM&lid=LSTSMWG7BG2PYPJ4MWM8TOPQN&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_9&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWG7BG2PYPJ4MWM.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch Series7 (GPS, 45mm) - Starlight Aluminium Case with Starlight Sport Band",APPLE,"44,650","44,900",0,32 ,"2,472",145,4.6,"The largest, most advanced Always-on Retina display yet makes everything you do with your Apple Watch Series 7 bigger and better. Series 7 is the most durable Apple Watch ever built, with an even more crack-resistant front crystal. Advanced features let you measure your blood oxygen level, take an ECG anytime, and access mindfulness and sleep tracking apps. You can also track dozens of workouts, including new tai chi and pilates."
https://www.flipkart.com/apple-watch-series-3-gps-42mm-space-grey-aluminium-case-black-sport-band/p/itm91c560e722cdd?pid=SMWF94AYMNYHTYDJ&lid=LSTSMWF94AYMNYHTYDJFOPINH&marketplace=FLIPKART&store=ajy%2Fbuh&srno=b_1_10&otracker=browse&fm=organic&iid=69d1a2ea-01bb-4721-949a-cd7ce0d928eb.SMWF94AYMNYHTYDJ.SEARCH&ppt=None&ppn=None&ssid=8ee5i63nn40000001668431667522,"APPLE Watch Series 3 (GPS, 42mm) - Space Grey Aluminium Case with Black Sport Band",APPLE,"23,349","23,900",2,8 ,"54,998","4,837",4.6,"Check your heart rate, and get notifications for low and high heart rate and irregular rhythm. Measure your workouts, and track and share your activity. Take calls, send and receive messages, and listen to your favourite songs from Apple Music. Apple Watch Series 3 lets you do it all right from your wrist."
